"Timestamp","Title","Company","Location","Description","URL","Industry","Languages","Education - Degree","Educational Concentration","Audio Related Skills","DSP","Audio Software, Libraries & Frameworks","General Software Skills","Operating Systems","Edit Link"
"2017/07/31 3:26:38 PM AST","Senior Digital Signal Processing Engineer","Harman","Mountain View, CA","Requisition Id : 99544 

Multi Location Job:  

A Career at HARMAN

We are ONE HARMAN. We are greater than the sum of our divisions or brands. We proudly talk about our many iconic brands and describe how our technologies are transforming the car, the workplace and everywhere in between.  We work hard. We create useful, playful, beautiful things. We strive for excellence and we aim to win as a team. No matter the position, every employee at HARMAN is expected to demonstrate our core competencies:  leadership, change-orientation, collaboration, judgment and a results-driven mindset.  At HARMAN, we expect brilliance.  You can expect a career full of brilliant possibilities. 

 

Position Summary:

Harman International is looking for a talented, creative, and highly motivated digital signal processing engineer to work with the Lifestyle Audio Engineering Group to design, develop and prototype advanced digital audio and acoustic applications for consumer electronics products

 

Supervisory Responsibilities:

This position has no direct supervisory responsibility, but will help contextualize technical career opportunities for peers and junior talent as well as serve as a mentor to junior members of the team.

 

Job Responsibilities:
•Design and develop audio algorithms to perform advanced audio processing in Matlab and Virtual Studio Technology (VST).
•Porting and implementing DSP software modules for Consumer home audio applications using assembly languages/C/C++.
•Work with the product design team overseas for rapid-prototyping, testing and characterizing system performance to meet digital signal processing function specifications.
•Support DSP technology reviews and qualifications by leading technical discussions with technology partners to ensure requirements are met.
•Experience with real time operating systems, practical embedded DSP systems, and differet commercial debuggers and emulators are preferred.
•Familiar with sound recording/editing software tools, audio measurement tools, and critical listening skills.

 

Basic Qualifications:
•Master’s Degree in above mentioned fields and 3+ years of experience in industry, research and development experience; alternatively, BS degree in Electrical Engineering plus at least 5 years of related experience.
•Good working knowledge of DSP fundamentals and firmware/ software development , digital filter design and tuning, systems theory and psychoacoustics.
•Hands-on experience in DSP composer tools, assembly language, real-time audio processing and simulations.
•The candidate must be self-motivated, have excellent communication skills, and be willing to work with a team of engineers.

 

Desired Qualifications:
•Experience in reading and understanding the electronics schematics and layouts, operating digital scopes and other test equipment is als highly desired.
•Experience with mobile platforms like iOS and Android is highly desired.
•Analog and mixed signal hardware design experience is a plus.

 

Preferred Qualifications & Desired Competencies: 

Results-Driven:  
•Clear and strategic thinker; proven experience in translating strategies into actionable plans
•Capable of handling multiple projects / initiatives simultaneously and executing to completion
•Responsible for projects that have hard deadlines that must be met.

Team Player: 
•Proven team player with excellent communication and interpersonal skills who can effectively work with all levels of a global matrixed organization

Change Orientation:  
•Must not only adapt, but must champion new and more efficient methods and techniques to meet the needs of the company

Customer Focus:  
•Must treat all customers with utmost respect, understanding that they have different needs.
•Develop relationships with other departments based on honest communication, mutual respect and teamwork.

Self-Awareness:  
•Have clear objectives and strives to exceed them
•Takes ownership for personal career and skill development

 

Eligibility Requirements:
•Willingness to travel 15% of the time
•Willingness to work in an office in Mountain View, CA
•Any offer of employment is conditioned upon the successful completion of a background investigation and drug screen. 
","https://jobs.harman.com/job/Mountain-View-Senior-Digital-Signal-Processing-Engineer-CA-94035/410774500/","Electronics","C++;C;Matlab;Assembly","Masters","Electrical Engineering","DSP;Real-Time Concepts;Sound Design, Sound Engineering, Acoustics;Audio Plugins, AAX, VST;Test Equipment: Digital Scopes;Hardware Design (Analog, Mixed Signal);Electronic Diagrams","Filtering","General Digital Audio Workstations (DAW)","Hardware - Embedded, System On a Chip (SoC), Microcontrollers, Driver, Kernel;Prototyping;Neural Networks;Algorithms","iOS;Android","https://docs.google.com/forms/d/e/1FAIpQLSd9q8gDIeBEIVYcRS94fiT5UIIToxiA1iZi60OPgrLLKLm4Ag/viewform?usp=form_confirm&edit2=2_ABaOnuefhGdPReXyX75VbHz96uW1TPFofamlxrfRg9K-V3m0Cy3etvCJyx9y-A"
"2017/07/31 3:37:52 PM AST","Senior Audio System Specialist","Apple","Culver City, CA","Senior Audio System Specialist
Job Number: 57136505
Culver City, California, United States
Posted: Apr. 26, 2017
Weekly Hours: 40.00

Job Summary

Apple is looking for a senior audio specialist to engineer the best possible system performance between audio software and acoustic hardware in Apple devices. The successful candidate will be responsible for designing validation s/w for audio technology developed in various product use cases, such as active noise cancellation, Uplink and Downlink signal processing. The candidate will work hand-in-hand with cross-functional teams, innovating in small groups with high initiative. S/He will be asked to make significant engineering contribution to enable industry-leading consumer electronic devices.


Key Qualifications
◾The ideal candidate will have proven senior-level experience of audio technology delivery in a consumer electronics/appliance company. Knowledge or experience in most of the following is required:
◾Algorithm prototyping in simulation software such as MATLAB / Python and real time hardware platforms
◾Acoustic prototyping including experimentation in anechoic chambers
◾Digital signal processing (DSP), including adaptive filtering, active noise cancellation and how to optimize the performance of these algorithms in devices.
◾Audio measurement tools, e.g. SoundCheck, Audio Precision, HEAD Acoustics ACQUA, Rohde & Schwartz CMU, Rohde & Schwartz UPV/UPL or similar
◾Acoustic measurement instruments for telephony (HATS, handset positioners, artificial ear couplers, reference acoustic sources & microphones)
◾Audio signal analysis in Audition or similar software
◾Listening skill and passion in diagnosing problems and overall improve sound quality
◾Five years professional experience in senior role

Description

As part of Apple’s Audio Design and Engineering group, the candidate will have responsibilities that include: Background and strength in s/w development for algorithm prototyping and measurement utilizing simulation software such as MATLAB and Python’s numerical computation packages for real time hardware measurements Develop and design future validation s/w to apply latest technologies like machine learning, beam-forming to validate Apple devices Understanding of system design and audio processing technologies such that s/w measurement tools are developed to test and verify audio performance meets Apple requirements Working with software teams to communicate requirements and needs, and verify the operation of software deliverables Working with factory teams to bring-up audio line testing s/w and h/w Improving future audio system architecture and measurement tools for Apple products

Education

Higher Degree (Masters/PhD) in Audio Engineering or related area.
","https://jobs.apple.com/search?#businessline&t=0&sb=req_open_dt&so=1&b=BBDD&pN=2&openJobId=57136505","Electronics;Audio Technology","Matlab;Python","Masters;PhD","Related Field;Audio Engineering","DSP;Real-Time Concepts;Sound Design, Sound Engineering, Acoustics;Transducers (Microphones, Speakers, etc);Audio Measurement Tools","Filtering;Noise;Uplink and Downlink","Adobe Audition","Architecture, Microservices, OOD, Design Patterns;Prototyping;Machine Learning;Algorithms","","https://docs.google.com/forms/d/e/1FAIpQLSd9q8gDIeBEIVYcRS94fiT5UIIToxiA1iZi60OPgrLLKLm4Ag/viewform?usp=form_confirm&edit2=2_ABaOnuckpSWNuYLMKtkenrc-tqgdm9eKzR1v7KIPuQaKruVbQuz4vzgmU4hCWA"
"2017/07/31 4:05:29 PM AST","Research Audio Software Engineer","Oculus","Redmond, WA","You're a software engineer with a deep C/C++ skillset and a passion for working on audio technology. You’re also a digital signal processing expert with a background in real time systems such as games. You love solving novel problems from first principles. You're always on the lookout for better, faster and smaller audio solutions. At Oculus Research you'll build cutting-edge research prototypes that explore the future of audio in virtual reality (VR) and augmented reality (AR). Join a world-class team experimenting with bold ideas. Work alongside expert research scientists, mechanical engineers, electrical engineers and software engineers to create the technology that makes VR and AR pervasive and universal. Join the adventure of a lifetime as we make science fiction real and change the world.

Responsibilities
Analyze, design, develop and debug real time VR and AR audio software for advanced prototypes and user experiencesCollaborate in a team environment across multiple scientific and engineering disciplines, making the architectural tradeoffs required to rapidly deliver software solutionsDevelop software for a variety of consumer devices, including novel microphones, speakers, AR headsets and VR headsetsWrite clean readable code, debug complex problems, prioritize ruthlessly and get things done with a high level of efficiencyLearn constantly, dive into new areas with unfamiliar technologies, and embrace the ambiguity of AR/VR problem solving

Minimum Qualification
BS degree in Computer Science or related field5 or more years C++ experience, including use of C++11 features3 or more years MATLAB experienceMathematical background, including FFT and DSP development5 or more years experience creating audio software for games or other real time environmentsProven track record of professional software development, including shipping one or more productsProblem solving and optimization abilityCommunication skills and demonstrated experience working across disciplines to drive optimal solutions","https://www3.oculus.com/en-us/careers/a0I1200000LSjmgEAD/","Electronics;Audio Technology;Virtual Reality","C++;C;Matlab","Bachelors","Computer Science","DSP;Real-Time Concepts;Transducers (Microphones, Speakers, etc)","FFT","","UX;Architecture, Microservices, OOD, Design Patterns;Testing, TDD, Debugging, Performance Testing;Prototyping;Games","","https://docs.google.com/forms/d/e/1FAIpQLSd9q8gDIeBEIVYcRS94fiT5UIIToxiA1iZi60OPgrLLKLm4Ag/viewform?usp=form_confirm&edit2=2_ABaOnufnNSmMUPb3LyAoMLd_ruQGj0e_Kdr8Hnz8T7s0CLJWWpgBbSDW0vyceg"
"2017/07/31 4:06:34 PM AST","Research Scientist, Machine Learning & Signal Processing ","Oculus","Redmond, WA","Oculus is a world leader in the design of virtual reality systems. We are currently seeking innovative researchers with a passion for applied and fundamental research in fields related to virtual reality at our research location in Redmond, WA. We are seeking a Research Scientist for a joint project between Oculus and FAIR research labs. Individuals in this role are expected to be recognized experts in identified research areas such as artificial intelligence, machine learning, computational statistics, and applied mathematics, particularly including areas such as deep learning, graphical models, reinforcement learning, computer perception, natural language processing and data representation. The ideal candidate will have a keen interest in producing new science to understand intelligence and technology to make computers more intelligent.

Responsibilities
Perform research to advance the science and technology of intelligent machinesPerform research that enables learning the semantics of data (audio, images, video, text, and other modalities)Devise better data-driven models of human behaviorContribute research that can be applied to Oculus product developmentMentor MS/PhD interns and collaborate with external academic groups to advance our research goalsPublish research results in top-tier journals and at leading international conferences

Minimum Qualification
PhD and/or postdoctoral assignment in the field of Audio Engineering and Signal Processing, Acoustics, Electrical Engineering, Computer Science, or a related fieldGraduating with a PhD, or completing a university postdoctoral assignment, by spring 20174+ years experience in solving analytical problems using quantitative approaches4+ years experience manipulating and analyzing complex, high-volume, high-dimensionality data from varying sourcesAbility to communicate research in an actionable manner3+ years experience in C++, Java or other related language such as Torch and TensorFlowInterpersonal skills: cross-group and cross-culture collaborationAble to obtain work authorization in the US for a two-year period beginning in 2017

Preferred Qualifications
Proven track record of achieving results as demonstrated in publications in machine learning, AI, statistics, applied mathematics, data science, or related technical fieldsDemonstrated software engineering experience via an internship, work experience, coding competitions, or widely used contributions in open source repositories (e.g. Github)Background in time-frequency domain signal processing (for e.g. speech processing)","https://www3.oculus.com/en-us/careers/a0I1200000IMZ53EAH/","Electronics;Research & Development;Virtual Reality","C++;Java;TensorFlow;Torch","PhD;Postdoctoral","Computer Science;Electrical Engineering;Related Field;Digital Audio Signal Processing;Acoustics;Audio Engineering","DSP;Speech","","","Machine Learning","","https://docs.google.com/forms/d/e/1FAIpQLSd9q8gDIeBEIVYcRS94fiT5UIIToxiA1iZi60OPgrLLKLm4Ag/viewform?usp=form_confirm&edit2=2_ABaOnue_PeavCunZtYn_5tJ4LHjL5wYKFPN-lE4q2srVlV-RV5Nhtl10hp8jDA"
"2017/07/31 4:10:54 PM AST","Audio DSP Engineer","Oculus","Redmond, WA","You’re a world class Audio DSP Engineer with a deep programming skillset and a passion for making breakthrough new technology come to life. You've designed and implemented significant Audio DSP systems that have shipped in high volume products. You love solving novel problems from first principles. You're always on the lookout for better, faster and smaller solutions. At Oculus Research you'll build cutting-edge research systems to explore the future of augmented reality (AR). Join an exceptional team of scientists, software and hardware engineers experimenting with bold ideas in optics, graphics, haptics, tracking, displays, computer vision and audio. Embark on the adventure of a lifetime as we make science fiction real and change the world.

Responsibilities
Analyze, design, develop and debug real-time AR system software for advanced prototypes and user experiencesWrite clean readable code, debug complex problems that span systems, prioritize ruthlessly and get things done with a high level of efficiencyLearn constantly, dive into new areas with unfamiliar technologies, and embrace the ambiguity of AR problem solvingGenerate novel, innovative solutions to some of the toughest problems in audio

Minimum Qualification
BS degree in Computer Science or related field, or equivalent experience5 or more years recent C experience5+ years professional audio DSP development experienceDemonstrated understanding of how end-to-end audio systems work including transducers, audio ICs, acoustics, embedded DSPs, etc.5+ years experience creating efficient real-time audio softwareDemonstrated software development experience, including shipping multiple productsDemonstrated communication skills and experience working across disciplines to drive optimal solution

Preferred Qualifications
MS or PhD in Electrical Engineering, Computer Science or equivalentExperience in Acoustics and Consumer Audio EE ArchitectureShipped millions of embedded audio DSP products","https://www3.oculus.com/en-us/careers/a0I1200000LSzYbEAL/","Electronics;Audio Technology;Virtual Reality","C","Masters;PhD","Computer Science;Electrical Engineering;Related Field","DSP;Real-Time Concepts;Sound Design, Sound Engineering, Acoustics;Transducers (Microphones, Speakers, etc)","","","Hardware - Embedded, System On a Chip (SoC), Microcontrollers, Driver, Kernel;Testing, TDD, Debugging, Performance Testing;Prototyping","","https://docs.google.com/forms/d/e/1FAIpQLSd9q8gDIeBEIVYcRS94fiT5UIIToxiA1iZi60OPgrLLKLm4Ag/viewform?usp=form_confirm&edit2=2_ABaOnufW-XD2a9cW8r7vxDGLuWs5O9v5ar-ps8hLT5B2kklYACZe-89_UOT9nA"
"2017/07/31 4:21:19 PM AST","Software Engineer, Spatial Audio Processing ","Google","San Francisco, CA","Google engineers develop the next-generation technologies that change how users connect, explore, and interact with information and one another. As a member of an extraordinarily creative, motivated and talented team, you develop new products that are used by millions of people. We need our engineers to be versatile and passionate to take on new problems as we continue to push technology forward. If you get excited about building new things and working across discipline lines, then our team might be your next career step.

We are looking for engineers to help develop the next generation of audio technology across Google products. Software Engineers with interest or experience with audio capturing, microphone array techniques, spatial audio, audio storage/transmission, audio reproduction, or other audio signal processing areas will find challenging projects here that will shape and change how consumers use audio and internet technologies.

Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From AdWords to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.



Responsibilities 

•Develop signal processing algorithms, new feature development, performance tuning, and software architecture and design.
•Determine the compromise between several design factors such as audio quality, CPU and memory efficiency, and user experience, as required for feature development.


Qualifications 

Minimum qualifications:•Master's degree in Electrical Engineering, Computer Science or related technical field, or equivalent practical experience.
•1 year of relevant work experience.
•Experience in the programming languages C and/or C++.

Preferred qualifications:•PhD in Electrical Engineering, Computer Science or related technical field.
•Experience in audio signal processing.
•Experience in algorithm development using MATLAB.
","https://careers.google.com/jobs?src=Online/Job+Board/indeed&utm_source=indeed&utm_medium=jobaggr&utm_campaign=freeaggr#!t=jo&jid=/google/software-engineer-spatial-audio-345-spear-st-san-francisco-ca-usa-2676840215&","Audio Technology;Internet;Computer Hardware;Computer Software","C++;C;Matlab","Masters;PhD","Computer Science;Electrical Engineering","DSP;Audio Formats (Transcoding, Codec);Audio Transmission;Spatial Sound, 3D Sound, Higher Order Ambisonics (HOA), Head Related Transfer Functions (HRTF), Stereo Image Separation;Transducers (Microphones, Speakers, etc)","","","UX;Architecture, Microservices, OOD, Design Patterns;Testing, TDD, Debugging, Performance Testing;Algorithms","","https://docs.google.com/forms/d/e/1FAIpQLSd9q8gDIeBEIVYcRS94fiT5UIIToxiA1iZi60OPgrLLKLm4Ag/viewform?usp=form_confirm&edit2=2_ABaOnudVXPw9Lbdemu-MDsxyAoUdIVclCQHsQ73iv7Rp2ovcXmpxUPed802sgg"
"2017/07/31 4:29:51 PM AST","Software Engineer, WebRTC ","Google","Stockholm, Sweden","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to tackle new problems across the full-stack as we continue to push technology forward.

Google is looking for excellent developers to help us improve the WebRTC platform. This includes everything from hardware interaction (soundcard, camera and graphics cards, hardware encoders and decoders) and media enhancements, audio/video encoder/decoders and bandwidth estimation to application and backend development. In our team you will be part of improving the current implementation as well as developing new algorithms. You have a signal processing background and computer science knowledge, with experience in real-time communications software and/or development for mobile devices.

Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to tackle some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From AdWords to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.



Responsibilities 

•Design, develop, test, deploy, maintain and improve software.
•Manage individual project priorities, deadlines and deliverables.


Qualifications 

Minimum qualifications:•BS degree in Computer Science, similar technical field of study or equivalent practical experience.
•Software development experience in C/C++.

Preferred qualifications:•Master’s, PhD degree, further education or experience in engineering, computer science or other technical related field.
•Experience with Digital/Adaptive Signal processing, communications theory.
•Deep knowledge of Video or Imaging.
•Knowledge of Networking and RTP.
•Working proficiency and communication skills in verbal and written English.
","https://careers.google.com/jobs?src=Online/Job+Board/indeed&utm_source=indeed&utm_medium=jobaggr&utm_campaign=freeaggr#!t=jo&jid=/google/software-engineer-webrtc-kungsbron-2-stockholm-sweden-5380003&","Internet;Computer Hardware;Computer Software","C++;C","Bachelors","Computer Science;Engineering;Related Field","DSP;Real-Time Concepts;Audio / Video Synchronization, Video Processing","","WebRTC","Hardware - Embedded, System On a Chip (SoC), Microcontrollers, Driver, Kernel;Testing, TDD, Debugging, Performance Testing;Algorithms;Mobile;Networking;Imaging;Communications Theory","","https://docs.google.com/forms/d/e/1FAIpQLSd9q8gDIeBEIVYcRS94fiT5UIIToxiA1iZi60OPgrLLKLm4Ag/viewform?usp=form_confirm&edit2=2_ABaOnudFtHPw0F1mf32flXhAL-Anvoz_CRWxRmq2o6sDrNH491USXq97niEFaA"
"2017/07/31 4:36:06 PM AST","Audio Systems Engineer","Google","Mountain View, CA","Google engineers develop the next-generation technologies that change how users connect, explore, and interact with information and one another. As a member of an extraordinarily creative, motivated and talented team, you develop new products that are used by millions of people. We need our engineers to be versatile and passionate to take on new problems as we continue to push technology forward. If you get excited about building new things and aren't daunted by the challenge of building something from scratch, then our team might be your next career step.

Google's mission is to organize the world's information and make it universally accessible and useful. Only one thing consistently stands in the way between our users and the world's information—hardware. Our Consumer Hardware team researches, designs, and develops new technologies and hardware to make our user's interaction with computing faster, more powerful, and seamless. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, our Consumer Hardware team is making people's lives better through technology.



Responsibilities 

•Define the audio subsystem for consumer electronics devices ensuring that product features and requirements and mapped to system design.
•Evaluate audio silicon and transducers to ensure performance and features meet performance needs; Collaborate with internal stakeholders and drive vendors to meet our next generation requirements.
•Help develop audio schematics and review PCB layouts to ensure best practices are maintained; Bring up and validation of the design will be part of each design cycle.
•Work with cross-functional teams to help deliver proper audio DSP tuning for telephony, speech recognition, and media playback use cases.
•Contribute to our roadmap by investigating new technologies and delivering new features.


Qualifications 

Minimum qualifications:•BS degree in Electrical or Computer engineering, Physics, or similar field or equivalent practical experience.
•3 years of experience

Preferred qualifications:•Master's or PhD in Acoustics, Electrical Engineering, or similar field
•Experience with Soundcheck, Audio Precision, HEAD Acoustics, Ares or Comsol
•Experience in any of DSP tuning, acoustics design, speakers, microphones
•Ability to travel up to 15%
","https://careers.google.com/jobs#!t=jo&jid=/google/audio-systems-engineer-1600-amphitheatre-pkwy-mountain-view-ca-2682430248&","Internet;Computer Hardware;Computer Software","","Bachelors;Masters;PhD","Electrical Engineering;Computer Engineering;Related Field;Physics;Acoustics","DSP;Speech;Sound Design, Sound Engineering, Acoustics;Transducers (Microphones, Speakers, etc);Electronic Diagrams;Audio Measurement Tools","","","Testing, TDD, Debugging, Performance Testing","","https://docs.google.com/forms/d/e/1FAIpQLSd9q8gDIeBEIVYcRS94fiT5UIIToxiA1iZi60OPgrLLKLm4Ag/viewform?usp=form_confirm&edit2=2_ABaOnucZrToKrbR_PbX2LRYsnkmmn168bfoU7DbxiJzEtT7khOxQWDmTiIOz"
"2017/07/31 4:41:41 PM AST","Software Engineer, Android Audio ","Google","Mountain View, CA","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

Making the world's information universally accessible and useful doesn't stop at the desktop. The Mobile team builds tools to get you the information you need no matter where you are. Android has become the world's most popular mobile ecosystem, powering billions of devices, from smartphones to tablets, watches to TVs and everything in between. Whether adding to the core Android experience, forging new markets for digital content, creating immersive and portable versions of our products or managing relationships with a global community of developers, the Mobile team is giving you Google on the go.



Responsibilities 

•Maintain and improve the Android audio framework.
•Design, develop, test, maintain and improve Android Audio OS software stack.
•Develop solutions and overcome embedded audio challenges.


Qualifications 

Minimum qualifications:•2 years of embedded development experience.
•Experience working with one or more from the following: Audio Frameworks, Bluetooth, DSPs, Music Synthesis, MIDI, USB Audio, Audio Codecs.

Preferred qualifications:•Experience with Android.
","https://careers.google.com/jobs#!t=jo&jid=/google/software-engineer-android-audio-1600-amphitheatre-pkwy-mountain-view-ca-2644100029&","Mobile;Internet;Computer Hardware;Computer Software","","","","DSP;Audio Formats (Transcoding, Codec);Music Theory, Music Analysis, Feature Extraction, Audio Analysis;MIDI","","Android Audio","Hardware - Embedded, System On a Chip (SoC), Microcontrollers, Driver, Kernel;Testing, TDD, Debugging, Performance Testing","Android","https://docs.google.com/forms/d/e/1FAIpQLSd9q8gDIeBEIVYcRS94fiT5UIIToxiA1iZi60OPgrLLKLm4Ag/viewform?usp=form_confirm&edit2=2_ABaOnudWsJR9FSGpv36EAO_auBT_bcXi0ufr4k3wiEuS4wQ34lg9Oi5DFE6tcA"
"2017/07/31 4:48:43 PM AST","Audio Systems Engineer, Living Room","Google","Mountain View, CA","Google engineers develop the next-generation technologies that change how users connect, explore, and interact with information and one another. As a member of an extraordinarily creative, motivated and talented team, you develop new products that are used by millions of people. We need our engineers to be versatile and passionate to tackle new problems as we continue to push technology forward. If you get excited about building new things and aren't daunted by the challenge of building something from scratch, then our team might be your next career step.

You are a smart and highly motivated engineer who will help design the next generation audio and acoustic systems for Google Home. You will be involved in the complete life cycle of the product including audio component selection, acoustics design, digital signal processing (DSP) tuning, and manufacturing support. You have expertise in the evaluation and implementation of codecs, amplifiers, microphones, and speakers. As an Engineer, you should have familiarity with tuning DSP algorithms such as compressors, noise suppressors, echo cancelers, equalization filters, and limiters.

Google's mission is to organize the world's information and make it universally accessible and useful. Only one thing consistently stands in the way between our users and the world's information—hardware. Our Consumer Hardware team researches, designs, and develops new technologies and hardware to make our user's interaction with computing faster, more powerful, and seamless. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, our Consumer Hardware team is making people's lives better through technology.



Responsibilities 

•Design and deliver audio systems including selection of codecs, amplifiers, microphones, and speakers.
•Provide DSP tuning of audio algorithms including the echo canceler, noise suppressor, compressor, equalization filter, and gain blocks.
•Provide the acoustic design of microphones and speaker assemblies. Drive vendors to create or customize transducers to meet high performance.
•Provide acoustic simulation of transducers and acoustic modules using lumped sum and FEM tools.
•Evaluate new components and technologies, maintain roadmap of new technologies and intersection points with products.


Qualifications 

Minimum qualifications:•BA/BS degree in Engineering, Physics or equivalent practical experience.
•4 years of experience with relevant audio design work.

Preferred qualifications:•Experience with simulation software (PSPICE, MicroCap, COMSOL, etc.)
•Strong experience designing and shipping high volume consumer audio products
•Skilled at audio and acoustic measurements using standard equipment from SoundCheck, Audio Precision, Bruel & Kjaer, and/or HEAD Acoustics.
•Knowledgeable in acoustic design methods for speakers and microphones.
•Knowledgeable in audio signal processing algorithms (EQ, compression, echo cancellation, etc.) and how to properly tune.
","https://careers.google.com/jobs#!t=jo&jid=/google/audio-systems-engineer-living-room-1600-amphitheatre-pkwy-mountain-view-ca-1424000053&","Audio Technology;Internet;Computer Hardware;Computer Software","","Bachelors","Engineering;Physics","DSP;Audio Formats (Transcoding, Codec);Sound Design, Sound Engineering, Acoustics;Transducers (Microphones, Speakers, etc);Audio Measurement Tools;Simulation","Equalization (Eq), Tone Controls;Filtering;Echo Control;Noise;Compression","","Algorithms","","https://docs.google.com/forms/d/e/1FAIpQLSd9q8gDIeBEIVYcRS94fiT5UIIToxiA1iZi60OPgrLLKLm4Ag/viewform?usp=form_confirm&edit2=2_ABaOnudyqtp-lGOpWThMHI9b_4zY5EyTN_tdMZ0t5NvvGQmZnJB3JFKhBD8RwA"
